Date,A,AA,ABC,ABCB,ACLS,ACNB,ADBE,ADP,AEG,AIR
2005/1/3,17.08154488,74.46897125,14.53750038,16.62407303,31.55999947,23.44671249,30.84499931,34.77585983,13.65999985,13.60999966
2005/1/4,16.63090134,73.12329102,14.42249966,16.33227921,29.55999947,23.53741455,30.03000069,34.22071457,13.56000042,12.85000038
2005/1/5,16.62374878,72.69075012,14.39500046,15.82164288,27.84000015,23.44671249,29.86499977,34.07796478,13.69999981,12.31000042
2005/1/6,16.25894165,73.00314331,14.51749992,16.15396309,27.76000023,23.53741455,29.37000084,33.84797668,13.94999981,12.22000027
2005/1/7,16.24463463,73.74806976,14.47500038,15.92701244,27.15999985,23.44671249,29.38999939,33.78453064,13.77999973,11.76000023
2005/1/10,16.16595078,73.21941376,14.47500038,16.22690964,27.95999908,23.44671249,29.40999985,33.80832291,13.84000015,11.96000004
2005/1/11,15.88698101,71.24894714,14.51000023,15.79732704,27.36000061,23.44671249,29.05999947,33.87176895,13.67000008,11.68000031
2005/1/12,15.86552238,70.72029114,14.51500034,15.35153294,29.23999977,23.44671249,29.48999977,33.5624733,13.84000015,11.64999962
2005/1/13,15.52932739,70.8884964,14.27499962,15.01110744,28.20000076,23.49206352,29.11000061,32.91215897,13.51000023,11.28999996
2005/1/14,15.77253246,71.84970093,14.31750011,15.44069099,29.15999985,23.44671249,29.11499977,33.62591934,13.43999958,11.56999969
2005/1/18,16.04434967,71.53730774,14.48750019,15.67574692,29.20000076,23.44671249,29.19000053,35.00584793,13.47999954,11.81999969
2005/1/19,15.77968502,70.11953735,14.375,15.89459133,28.92000008,23.44671249,28.94000053,34.83137512,13.26000023,11.60999966
2005/1/20,15.9155941,68.9661026,14.50249958,15.44069099,28.20000076,23.44671249,29.03499985,34.4982872,13.22000027,11.57999992
2005/1/21,15.59370518,69.5187912,14.25249958,15.73248386,28.12000084,23.35600853,28.53499985,33.9669342,13.22999954,11.31999969
2005/1/24,15.33619499,69.2304306,14.39249992,15.6838522,27.71999931,23.08390045,27.69499969,34.30002213,13.18999958,10.94999981
2005/1/25,15.59370518,68.17311096,14.13000011,15.64332485,28,23.03854942,27.79000092,34.60138702,13.39000034,11
2005/1/26,15.73676682,68.8219223,14.47000027,15.4569025,29.31999969,23.12925148,28.00499916,34.56173325,13.42000008,11.28999996
2005/1/27,15.73676682,69.83117676,14.36499977,15.80543232,29.68000031,23.44671249,28.08499908,34.22864532,13.30000019,11.5
2005/1/28,15.45779705,69.61490631,14.59249973,16.16206741,29.04000092,23.49206352,27.73999977,34.26036835,13.28999996,11.11999989
2005/1/31,15.81545067,70.91252899,14.56999969,16.48628235,29.87999916,23.58276558,28.45000076,34.48242569,13.56999969,11.64999962
2005/2/1,16.1087265,71.0326767,14.73999977,16.0161705,30.71999931,23.58276558,28.95000076,34.87895966,13.72000027,12.13000011
2005/2/2,16.23748207,70.84043884,14.71000004,15.54606056,30.68000031,22.67573738,31.14500046,34.62517929,13.80000019,12.22999954
2005/2/3,15.80829716,70.02342224,14.99499989,16.05669785,30.84000015,23.12925148,31.70999908,34.98205566,13.69999981,11.82999992
2005/2/4,16.05865479,70.57611084,14.89999962,16.19448853,34.31999969,23.12925148,31.99500084,35.01377869,13.69999981,11.82999992
2005/2/7,16.53791046,71.17685699,14.86250019,16.37280655,34.40000153,23.12925148,31.76000023,34.67276382,13.56000042,11.76000023
2005/2/8,16.98855591,72.08999634,15.03250027,16.53491402,35.59999847,23.00226784,31.85000038,34.71241379,13.59000015,11.56999969
2005/2/9,16.51645279,70.26371765,14.77999973,15.83785343,34.20000076,23.00226784,31.29500008,33.98279572,13.28999996,11.21000004
2005/2/10,16.48068619,70.81640625,14.875,15.78111649,33.68000031,23.03854942,31.34000015,33.72108459,13.22000027,11.31000042
2005/2/11,16.96709633,71.72955322,15.08500004,16.28364754,35.75999832,23.03854942,31.85000038,34.05417252,13.31999969,11.35999966
2005/2/14,17.18168831,71.82566833,15.05249977,16.25122643,36.20000076,23.02040863,31.73500061,33.74487686,13.47000027,11.27999973
